id,validness,꿀잠소리,노래자랑,도전 실버벨,듣는대화,마음그림터,마음세탁소,마음스트레칭,명언산책,무비순이,순이 특별대화,순이극장,순이대화,순이인생,순이책방,순이체조,시낭독,시시콜콜,영어교실,요가명상,일어교실,total,recommend
228,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,명언산책
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,일어교실
232,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,마음세탁소
276,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,8,시시콜콜
315,1,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,8,순이책방
339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,일어교실
341,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,순이인생
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,마음스트레칭
477,1,2,0,1,3,0,0,1,0,0,5,0,2,0,0,2,0,0,0,0,0,16,시시콜콜
479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,11,순이대화
486,1,0,6,26,0,1,6,3,1,8,0,1,0,4,4,42,3,5,13,14,2,139,순이대화
488,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,노래자랑
490,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,15,노래자랑
492,1,0,4,0,3,0,0,0,0,0,3,0,5,0,0,1,0,0,0,1,0,17,순이인생
494,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,일어교실
495,1,0,0,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,17,순이책방
496,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,마음그림터
505,1,0,4,0,0,2,0,0,1,1,0,0,0,0,0,7,0,2,0,3,0,20,순이인생
511,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,명언산책
512,1,0,0,0,7,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,14,요가명상
513,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,8,명언산책
518,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,마음스트레칭
519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이체조
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,마음세탁소
527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,마음그림터
534,1,0,3,12,0,0,0,0,0,0,1,2,1,1,0,17,0,1,5,1,1,45,마음세탁소
535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,명언산책
536,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,순이체조
542,1,0,0,0,6,3,0,4,1,0,7,0,10,3,1,1,0,1,1,0,0,38,시시콜콜
544,1,2,93,1,0,0,0,0,3,1,0,1,0,1,0,2,2,1,3,2,0,112,순이극장
546,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,26,꿀잠소리
547,1,0,0,0,7,0,0,0,1,0,8,0,12,0,0,0,0,0,0,0,0,28,도전 실버벨
570,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,13,마음세탁소
580,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,순이극장
581,1,0,1,8,0,1,1,3,0,0,4,0,5,0,0,46,0,0,0,0,0,69,요가명상
582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이극장
583,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,마음그림터
585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이책방
642,1,0,1,3,3,2,1,1,0,0,3,2,2,2,2,2,0,2,1,9,1,37,시시콜콜
644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,노래자랑
650,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,순이 특별대화
654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,명언산책
655,1,0,1,1,0,1,0,1,0,3,0,1,2,1,1,6,1,0,1,9,0,29,듣는대화
656,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,무비순이
658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,도전 실버벨
661,1,0,7,5,1,8,1,4,4,0,1,2,1,3,1,9,0,1,0,4,0,52,순이책방
662,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,순이책방
665,1,0,0,0,3,2,2,1,2,1,3,0,2,0,0,4,1,2,0,1,0,24,일어교실
668,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,5,꿀잠소리
672,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,요가명상
673,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,무비순이
705,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,순이극장
720,1,0,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,10,순이체조
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,무비순이
768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,노래자랑
796,1,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,9,마음스트레칭
797,1,0,18,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,22,순이인생
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,순이 특별대화
800,1,4,0,3,1,0,0,0,0,0,0,2,0,0,0,19,0,0,0,2,0,31,영어교실
801,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,마음세탁소
802,1,0,3,2,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,12,마음스트레칭
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,도전 실버벨
805,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,4,마음스트레칭
806,1,0,2,2,0,3,0,2,2,6,0,2,0,0,0,0,0,0,2,0,1,22,순이체조
807,1,0,4,5,26,4,0,0,1,2,11,7,13,4,1,1,0,3,2,0,1,85,요가명상
809,1,0,2,0,21,1,0,0,1,1,10,1,7,0,0,0,0,0,2,1,1,48,순이책방
811,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,순이체조
812,1,0,2,1,0,1,0,0,0,4,1,0,1,1,4,1,0,1,5,3,3,28,순이체조
813,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,마음스트레칭
1001,1,0,2,0,0,0,0,1,0,0,0,0,2,0,1,2,1,2,0,2,1,14,마음그림터
1002,1,0,10,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,15,듣는대화
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,도전 실버벨
1004,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,7,순이체조
1008,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,일어교실
1009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,도전 실버벨
1012,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,마음세탁소
1013,1,0,6,0,1,0,0,1,0,0,2,0,1,1,1,2,0,1,3,0,2,21,꿀잠소리
1015,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,13,무비순이
