id,validness,response1,response2,response3,total1,percentage1,total2,percentage2,total3,percentage3
228,1,0,0,0,7,0.0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
232,1,11,1,0,270,4.074074074074074,9,11.11111111111111,0,0
276,1,13,6,0,168,7.738095238095238,9,66.66666666666666,0,0
315,1,7,3,2,132,5.303030303030303,5,60.0,2,100.0
339,1,0,0,0,9,0.0,0,0,0,0
341,1,34,15,5,401,8.478802992518704,27,55.55555555555556,9,55.55555555555556
476,0,0,0,0,0,0,0,0,0,0
477,1,8,2,1,99,8.080808080808081,5,40.0,2,50.0
479,1,21,7,1,297,7.07070707070707,14,50.0,2,50.0
486,1,69,23,5,339,20.353982300884958,50,46.0,10,50.0
488,1,0,0,0,17,0.0,0,0,0,0
490,1,6,0,0,354,1.694915254237288,5,0.0,0,0
492,1,6,2,0,27,22.22222222222222,5,40.0,0,0
494,1,5,1,0,85,5.88235294117647,2,50.0,0,0
495,0,0,0,0,0,0,0,0,0,0
496,1,0,0,0,11,0.0,0,0,0,0
505,1,17,2,1,234,7.264957264957266,12,16.666666666666664,1,100.0
511,1,5,2,1,35,14.285714285714285,5,40.0,1,100.0
512,1,11,4,1,339,3.2448377581120944,8,50.0,2,50.0
513,1,0,0,0,24,0.0,0,0,0,0
518,1,0,0,0,35,0.0,0,0,0,0
519,1,12,2,0,149,8.053691275167784,7,28.57142857142857,0,0
520,1,1,0,0,102,0.9803921568627451,1,0.0,0,0
527,0,0,0,0,0,0,0,0,0,0
534,1,102,41,10,380,26.842105263157894,67,61.19402985074627,12,83.33333333333334
535,1,0,0,0,43,0.0,0,0,0,0
536,1,0,0,0,13,0.0,0,0,0,0
542,1,43,14,8,164,26.21951219512195,27,51.85185185185185,11,72.72727272727273
544,1,0,0,0,254,0.0,0,0,0,0
546,1,0,0,0,108,0.0,0,0,0,0
547,1,0,0,0,19,0.0,0,0,0,0
570,1,2,0,0,46,4.3478260869565215,0,0,0,0
580,0,0,0,0,0,0,0,0,0,0
581,1,0,0,0,652,0.0,0,0,0,0
582,1,21,6,1,192,10.9375,13,46.15384615384615,1,100.0
583,0,0,0,0,0,0,0,0,0,0
585,1,43,9,4,509,8.447937131630647,29,31.03448275862069,7,57.14285714285714
642,1,0,0,0,22,0.0,0,0,0,0
644,1,2,0,0,191,1.0471204188481675,2,0.0,0,0
650,1,26,12,1,218,11.926605504587156,21,57.14285714285714,2,50.0
654,1,16,4,0,165,9.696969696969697,11,36.36363636363637,1,0.0
655,1,0,0,0,46,0.0,0,0,0,0
656,0,0,0,0,0,0,0,0,0,0
658,1,2,0,0,68,2.941176470588235,0,0,0,0
661,1,1,0,0,161,0.6211180124223602,1,0.0,0,0
662,1,0,0,0,48,0.0,0,0,0,0
665,1,3,1,0,190,1.5789473684210527,2,50.0,0,0
668,1,9,4,2,276,3.260869565217391,6,66.66666666666666,3,66.66666666666666
672,1,11,0,0,317,3.4700315457413247,8,0.0,0,0
673,1,0,0,0,54,0.0,0,0,0,0
705,1,0,0,0,3,0.0,0,0,0,0
720,1,3,1,0,23,13.043478260869565,2,50.0,0,0
760,0,0,0,0,0,0,0,0,0,0
768,1,5,0,0,54,9.25925925925926,2,0.0,0,0
796,1,1,0,0,59,1.694915254237288,1,0.0,0,0
797,1,153,60,22,504,30.357142857142854,97,61.855670103092784,36,61.111111111111114
799,1,2,0,0,281,0.7117437722419928,0,0,0,0
800,1,24,10,4,259,9.266409266409266,17,58.82352941176471,5,80.0
801,1,0,0,0,20,0.0,0,0,0,0
802,1,0,0,0,3,0.0,0,0,0,0
803,1,0,0,0,21,0.0,0,0,0,0
